Date : 2025-09-13 15:30:23
Directory : /home/david/workspace/GenFlow
Total : 374 files,  44189 codes, 113 comments, 2632 blanks, all 46934 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /home/david/workspace/GenFlow/services/web-ui/src/components/Aside/Artifacts.tsx                                                  | TypeScript JSX     |         17 |          0 |          2 |         19 |
| /home/david/workspace/GenFlow/services/web-ui/src/components/Aside/Aside.tsx                                                      | TypeScript JSX     |         52 |          0 |          4 |         56 |
| /home/david/workspace/GenFlow/services/web-ui/src/components/Aside/EmptyContent.tsx                                               | TypeScript JSX     |          8 |          0 |          1 |          9 |
| /home/david/workspace/GenFlow/services/web-ui/src/components/Aside/Hierarchy.tsx                                                  | TypeScript JSX     |         42 |          0 |          8 |         50 |
| /home/david/workspace/GenFlow/services/web-ui/src/components/Aside/Inspector.tsx                                                  | TypeScript JSX     |         60 |          0 |          8 |         68 |
| /home/david/workspace/GenFlow/services/web-ui/src/components/Aside/Nodes.tsx                                                      | TypeScript JSX     |         83 |          1 |         13 |         97 |
| /home/david/workspace/GenFlow/services/web-ui/src/components/Button.tsx                                                           | TypeScript JSX     |         10 |          0 |          0 |         10 |
| /home/david/workspace/GenFlow/services/web-ui/src/components/ExternalNodeRenderer.tsx                                             | TypeScript JSX     |         40 |          3 |          7 |         50 |
| /home/david/workspace/GenFlow/services/web-ui/src/components/FlowWorkspace.tsx                                                    | TypeScript JSX     |        130 |          4 |         20 |        154 |
| /home/david/workspace/GenFlow/services/web-ui/src/components/Header.tsx                                                           | TypeScript JSX     |         15 |          0 |          5 |         20 |
| /home/david/workspace/GenFlow/services/web-ui/src/components/Icon.tsx                                                             | TypeScript JSX     |          7 |          0 |          3 |         10 |
| /home/david/workspace/GenFlow/services/web-ui/src/components/Nav.tsx                                                              | TypeScript JSX     |         28 |          0 |          3 |         31 |
| /home/david/workspace/GenFlow/services/web-ui/src/components/TopBar.tsx                                                           | TypeScript JSX     |         24 |          0 |          4 |         28 |
| /home/david/workspace/GenFlow/services/web-ui/src/components/inputs/TextInput.tsx                                                 | TypeScript JSX     |         21 |          0 |          1 |         22 |
| /home/david/workspace/GenFlow/services/web-ui/src/components/node/DefaultNode.tsx                                                 | TypeScript JSX     |        135 |          2 |         16 |        153 |
| /home/david/workspace/GenFlow/services/web-ui/src/components/node/inputWidgets/LabelWidget.tsx                                    | TypeScript JSX     |         14 |          0 |          1 |         15 |
| /home/david/workspace/GenFlow/services/web-ui/src/components/node/inputWidgets/LineInputWidget.tsx                                | TypeScript JSX     |         23 |          0 |          1 |         24 |
| /home/david/workspace/GenFlow/services/web-ui/src/components/node/inputWidgets/NumberInputWidget.tsx                              | TypeScript JSX     |         20 |          0 |          1 |         21 |
| /home/david/workspace/GenFlow/services/web-ui/src/components/node/inputWidgets/SelectWidget.tsx                                   | TypeScript JSX     |         27 |          0 |          1 |         28 |
| /home/david/workspace/GenFlow/services/web-ui/src/hooks/useAuth.ts                                                                | TypeScript         |         30 |          0 |          8 |         38 |
| /home/david/workspace/GenFlow/services/web-ui/src/pages/auth/ForgotPassword.tsx                                                   | TypeScript JSX     |          7 |          0 |          1 |          8 |
| /home/david/workspace/GenFlow/services/web-ui/src/pages/auth/Login.tsx                                                            | TypeScript JSX     |         42 |          0 |          9 |         51 |
| /home/david/workspace/GenFlow/services/web-ui/src/pages/auth/Register.tsx                                                         | TypeScript JSX     |         46 |          0 |          7 |         53 |
| /home/david/workspace/GenFlow/services/web-ui/src/pages/authorized/ConfirmEmail.tsx                                               | TypeScript JSX     |         42 |          0 |          6 |         48 |
| /home/david/workspace/GenFlow/services/web-ui/src/pages/authorized/Dashboard.tsx                                                  | TypeScript JSX     |         80 |          0 |          7 |         87 |
| /home/david/workspace/GenFlow/services/web-ui/src/pages/authorized/ExecutiveServers.tsx                                           | TypeScript JSX     |          7 |          0 |          1 |          8 |
| /home/david/workspace/GenFlow/services/web-ui/src/pages/authorized/Flow.tsx                                                       | TypeScript JSX     |        126 |          1 |         31 |        158 |
| /home/david/workspace/GenFlow/services/web-ui/src/pages/authorized/Flows.tsx                                                      | TypeScript JSX     |          7 |          0 |          1 |          8 |
| /home/david/workspace/GenFlow/services/web-ui/src/pages/authorized/Genworkers.tsx                                                 | TypeScript JSX     |        209 |          0 |         22 |        231 |
| /home/david/workspace/GenFlow/services/web-ui/src/pages/authorized/Plugins.tsx                                                    | TypeScript JSX     |          7 |          0 |          1 |          8 |
| /home/david/workspace/GenFlow/services/web-ui/src/pages/authorized/Settings.tsx                                                   | TypeScript JSX     |         23 |          0 |          6 |         29 |
| /home/david/workspace/GenFlow/services/web-ui/src/pages/unauthorized/Welcome.tsx                                                  | TypeScript JSX     |         29 |          0 |          3 |         32 |
| /home/david/workspace/GenFlow/services/web-ui/src/socket/SocketProvider.tsx                                                       | TypeScript JSX     |          9 |          0 |          1 |         10 |
| /home/david/workspace/GenFlow/services/web-ui/src/socket/socket.ts                                                                | TypeScript         |         10 |          0 |          3 |         13 |
| /home/david/workspace/GenFlow/services/web-ui/src/store/flow.default.ts                                                           | TypeScript         |          7 |          0 |          0 |          7 |
| /home/david/workspace/GenFlow/services/web-ui/src/store/flow.type.ts                                                              | TypeScript         |         13 |          0 |          4 |         17 |
| /home/david/workspace/GenFlow/services/web-ui/src/store/index.ts                                                                  | TypeScript         |         24 |          0 |          3 |         27 |
| /home/david/workspace/GenFlow/services/web-ui/src/store/nodes/node.default.ts                                                     | TypeScript         |         61 |          0 |          0 |         61 |
| /home/david/workspace/GenFlow/services/web-ui/src/store/nodes/nodesRegistry.ts                                                    | TypeScript         |         14 |          2 |          6 |         22 |
| /home/david/workspace/GenFlow/services/web-ui/src/store/nodes/packets/GenFlow/Text/TextInput.json                                 | JSON               |         28 |          0 |          1 |         29 |
| /home/david/workspace/GenFlow/services/web-ui/src/store/nodes/packets/GenFlow/config.json                                         | JSON               |          8 |          0 |          0 |          8 |
| /home/david/workspace/GenFlow/services/web-ui/src/store/provider.tsx                                                              | TypeScript JSX     |          6 |          0 |          1 |          7 |
| /home/david/workspace/GenFlow/services/web-ui/src/store/slices/artifactsSlice.tsx                                                 | TypeScript JSX     |         35 |          0 |          4 |         39 |
| /home/david/workspace/GenFlow/services/web-ui/src/store/slices/authSlice.tsx                                                      | TypeScript JSX     |         38 |          0 |          2 |         40 |
| /home/david/workspace/GenFlow/services/web-ui/src/store/slices/clientSlice.tsx                                                    | TypeScript JSX     |         47 |          0 |          2 |         49 |
| /home/david/workspace/GenFlow/services/web-ui/src/store/slices/defaults/defaultNode.tsx                                           | TypeScript JSX     |         78 |          0 |          0 |         78 |
| /home/david/workspace/GenFlow/services/web-ui/src/store/slices/flowsSlice.tsx                                                     | TypeScript JSX     |         62 |          1 |          6 |         69 |
| /home/david/workspace/GenFlow/services/web-ui/src/store/slices/packagesSlice.tsx                                                  | TypeScript JSX     |         29 |          0 |          2 |         31 |
| /home/david/workspace/GenFlow/services/web-ui/src/store/slices/projectSlice.tsx                                                   | TypeScript JSX     |         54 |          0 |          6 |         60 |
| /home/david/workspace/GenFlow/services/web-ui/src/store/slices/sessionSlice.tsx                                                   | TypeScript JSX     |         26 |          0 |          3 |         29 |
| /home/david/workspace/GenFlow/services/web-ui/src/store/slices/teamSlice.tsx                                                      | TypeScript JSX     |         41 |          0 |          3 |         44 |
| /home/david/workspace/GenFlow/services/web-ui/src/store/thunks/auth/loginThunk.ts                                                 | TypeScript         |         32 |          0 |          9 |         41 |
| /home/david/workspace/GenFlow/services/web-ui/src/store/thunks/auth/logoutThunk.ts                                                | TypeScript         |         14 |          0 |          5 |         19 |
| /home/david/workspace/GenFlow/services/web-ui/src/store/thunks/auth/registerThunk.ts                                              | TypeScript         |         35 |          0 |          5 |         40 |
| /home/david/workspace/GenFlow/services/web-ui/src/store/thunks/client/fetchClientThunk.ts                                         | TypeScript         |         41 |          0 |          8 |         49 |
| /home/david/workspace/GenFlow/services/web-ui/src/store/thunks/client/verifyEmailThunk.ts                                         | TypeScript         |         17 |          0 |          5 |         22 |
| /home/david/workspace/GenFlow/services/web-ui/src/store/thunks/flow/addNodeThunk.ts                                               | TypeScript         |         18 |          0 |          1 |         19 |
| /home/david/workspace/GenFlow/services/web-ui/src/store/thunks/flow/assignGenWorkerToFlowThunk.ts                                 | TypeScript         |         13 |          0 |          2 |         15 |
| /home/david/workspace/GenFlow/services/web-ui/src/store/thunks/flow/createFlowThunk.ts                                            | TypeScript         |         29 |          0 |          4 |         33 |
| /home/david/workspace/GenFlow/services/web-ui/src/store/thunks/flow/executeFlowThunk.ts                                           | TypeScript         |         25 |          0 |          4 |         29 |
| /home/david/workspace/GenFlow/services/web-ui/src/store/thunks/flow/featchNodesThunk.ts                                           | TypeScript         |          9 |          0 |          1 |         10 |
| /home/david/workspace/GenFlow/services/web-ui/src/store/thunks/flow/onConnectThunk.ts                                             | TypeScript         |         13 |          0 |          2 |         15 |
| /home/david/workspace/GenFlow/services/web-ui/src/store/thunks/flow/onEdgesChangeThunk.ts                                         | TypeScript         |         13 |          0 |          2 |         15 |
| /home/david/workspace/GenFlow/services/web-ui/src/store/thunks/flow/onNodesChangeThunk.ts                                         | TypeScript         |         12 |          0 |          2 |         14 |
| /home/david/workspace/GenFlow/services/web-ui/src/store/thunks/nodes/loadNodesThunk.ts                                            | TypeScript         |         21 |          0 |          5 |         26 |
| /home/david/workspace/GenFlow/services/web-ui/src/utils/DnDContext.jsx                                                            | JavaScript JSX     |         14 |          0 |          5 |         19 |
| /home/david/workspace/GenFlow/services/web-ui/src/utils/apollo-client.ts                                                          | TypeScript         |          7 |          0 |          2 |          9 |
| /home/david/workspace/GenFlow/services/web-ui/src/utils/config.tsx                                                                | TypeScript JSX     |         15 |          0 |          3 |         18 |
| /home/david/workspace/GenFlow/services/web-ui/src/utils/fetchServer.ts                                                            | TypeScript         |         14 |          0 |          3 |         17 |
| /home/david/workspace/GenFlow/services/web-ui/tailwind.config.js                                                                  | JavaScript         |         32 |          1 |          3 |         36 |
| /home/david/workspace/GenFlow/services/web-ui/tsconfig.json                                                                       | JSON with Comments |         51 |          8 |          1 |         60 |
| /home/david/workspace/GenFlow/tsconfig.base.json                                                                                  | JSON               |         46 |          0 |          5 |         51 |
| /home/david/workspace/GenFlow/tsconfig.json                                                                                       | JSON with Comments |         41 |          0 |         10 |         51 |
| Total                                                                                                                             |                    |     44,189 |        113 |      2,632 |     46,934 |
+-----------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
